id,carrier_name,name,level,plan_type,individual_medical_deductible,family_medical_deductible,individual_medical_moop,family_medical_moop,plan_coinsurance,hsa_eligible,infertility_treatment_rider,individual_drug_deductible,family_drug_deductible,primary_care_physician,network_size,individual_medical_deductible_in_network,individual_medical_deductible_out_of_network,family_medical_deductible_in_network,family_medical_deductible_out_of_network,individual_medical_moop_in_network,individual_medical_moop_out_of_network,family_medical_moop_in_network,family_medical_moop_out_of_network,coinsurance_in_network,coinsurance_out_of_network,individual_drug_deductible_in_network,family_drug_deductible_in_network,primary_care_physician_in_network_cleaned,primary_care_physician_out_of_network_cleaned,pcp_cleaned_dollar_values_in_network,pcp_cleaned_percentages_in_network,pcp_initial_visits_in_network,pcp_after_deductible_in_network,pcp_cleaned_dollar_values_out_of_network,pcp_cleaned_percentages_out_of_network,pcp_initial_visits_out_of_network,pcp_after_deductible_out_of_network
27603CA1221135,Anthem,Anthem Bronze Select PPO 4600/50%,expanded_bronze,PPO,"In-Network: $4,600 / Out-of-Network: $9,200","In-Network: $9,200 / Out-of-Network: $18,400","In-Network: $8,100 / Out-of-Network: $16,200","In-Network: $16,200 / Out-of-Network: $32,400",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 50% after deductible / Out-of-Network: 50% after deductible,67946,4600,9200,9200,18400,8100,16200,16200,32400,50,50,0,0,50% after deductible,50% after deductible,[],[50.0],0,True,[],[50.0],0,True
27603CA1221332,Anthem,Anthem Bronze Select PPO 60/6850/40%,expanded_bronze,PPO,"In-Network: $6,850 / Out-of-Network: $13,700","In-Network: $13,700 / Out-of-Network: $27,400","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: $60 after deductible / Out-of-Network: 50% after deductible,67946,6850,13700,13700,27400,8200,16400,16400,32800,40,50,650,1300,$60 after deductible,50% after deductible,[60.0],[],0,True,[],[50.0],0,True
27603CA1220354,Anthem,Anthem Bronze Select PPO 6000/45% w/HSA PrevRx,expanded_bronze,PPO,"In-Network: $6,000 / Out-of-Network: $12,000","In-Network: $12,000 / Out-of-Network: $24,000","In-Network: $7,050 / Out-of-Network: $14,100","In-Network: $14,100 / Out-of-Network: $28,200",In-Network: 45% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 45% after deductible / Out-of-Network: 50% after deductible,67946,6000,12000,12000,24000,7050,14100,14100,28200,45,50,0,0,45% after deductible,50% after deductible,[],[45.0],0,True,[],[50.0],0,True
27603CA1220252,Anthem,Anthem Bronze Select PPO 6700/0% w/HSA PrevRx,expanded_bronze,PPO,"In-Network: $6,700 / Out-of-Network: $13,400","In-Network: $13,400 / Out-of-Network: $26,800","In-Network: $7,050 / Out-of-Network: $17,625","In-Network: $14,100 / Out-of-Network: $35,250",In-Network: $0 / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,67946,6700,13400,13400,26800,7050,17625,14100,35250,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
27603CA1221333,Anthem,Anthem Bronze Select PPO 70/6600/35%,expanded_bronze,PPO,"In-Network: $6,600 / Out-of-Network: $13,200","In-Network: $13,200 / Out-of-Network: $26,400","In-Network: $8,700 / Out-of-Network: $17,400","In-Network: $17,400 / Out-of-Network: $34,800",In-Network: 35% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $70 after deductible / Out-of-Network: 50% after deductible,67946,6600,13200,13200,26400,8700,17400,17400,34800,35,50,0,0,$70 after deductible,50% after deductible,[70.0],[],0,True,[],[50.0],0,True
27603CA1220130,Anthem,Anthem Bronze Select PPO 7000/0% w/HSA,expanded_bronze,PPO,"In-Network: $7,000 / Out-of-Network: $14,000","In-Network: $14,000 / Out-of-Network: $28,000","In-Network: $7,000 / In-Network-Tier-2: $7,000 / Out-of-Network: $17,500","In-Network: $14,000 / In-Network-Tier-2: $14,000 / Out-of-Network: $35,000",In-Network: $0 / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,67946,7000,14000,14000,28000,7000,17500,14000,35000,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
27603CA1221560,Anthem,Anthem Bronze Select PPO 75/7300/40%,expanded_bronze,PPO,"In-Network: $7,300 / Out-of-Network: $14,600","In-Network: $14,600 / Out-of-Network: $29,200","In-Network: $8,650 / Out-of-Network: $17,300","In-Network: $17,300 / Out-of-Network: $34,600",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: $75 / Out-of-Network: 50% after deductible,67946,7300,14600,14600,29200,8650,17300,17300,34600,40,50,650,1300,$75,50% after deductible,[75.0],[],0,False,[],[50.0],0,True
27603CA1221590,Anthem,Anthem Gold PPO 1700/15% w/HSA PrevRx,gold,PPO,"In-Network: $1,700 / Out-of-Network: $3,400","In-Network: $3,400 / Out-of-Network: $6,800","In-Network: $3,700 / Out-of-Network: $7,400","In-Network: $7,400 / Out-of-Network: $14,800",In-Network: 15% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 15% after deductible / Out-of-Network: 50% after deductible,90435,1700,3400,3400,6800,3700,7400,7400,14800,15,50,0,0,15% after deductible,50% after deductible,[],[15.0],0,True,[],[50.0],0,True
27603CA1220723,Anthem,Anthem Gold PPO 25/30%,gold,PPO,"In-Network: $0 / Out-of-Network: $2,000","In-Network: $0 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 30% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: 50% after deductible,90435,0,2000,0,4000,8200,16400,16400,32800,30,50,0,0,$25,50% after deductible,[25.0],[],0,False,[],[50.0],0,True
27603CA1220742,Anthem,Anthem Gold PPO 30/500/20%,gold,PPO,"In-Network: $500 / Out-of-Network: $2,000","In-Network: $1,500 / Out-of-Network: $4,000","In-Network: $7,900 / Out-of-Network: $15,800","In-Network: $15,800 / Out-of-Network: $31,600",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: 50% after deductible,90435,500,2000,1500,4000,7900,15800,15800,31600,20,50,0,0,$30,50% after deductible,[30.0],[],0,False,[],[50.0],0,True
27603CA1220780,Anthem,Anthem Gold PPO 30/750/20%,gold,PPO,"In-Network: $750 / Out-of-Network: $2,000","In-Network: $2,250 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $250 / Out-of-Network: Not Covered,In-Network: $500 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: 50% after deductible,90435,750,2000,2250,4000,8200,16400,16400,32800,20,50,250,500,$30,50% after deductible,[30.0],[],0,False,[],[50.0],0,True
27603CA1220799,Anthem,Anthem Gold PPO 35/1000/20%,gold,PPO,"In-Network: $1,000 / Out-of-Network: $2,000","In-Network: $3,000 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: 50% after deductible,90435,1000,2000,3000,4000,8200,16400,16400,32800,20,50,300,600,$35,50% after deductible,[35.0],[],0,False,[],[50.0],0,True
27603CA1221435,Anthem,Anthem Gold PPO 35/1000/20% WH,gold,PPO,"In-Network: $1,000 / Out-of-Network: $2,000","In-Network: $3,000 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: 50% after deductible,90435,1000,2000,3000,4000,8200,16400,16400,32800,20,50,300,600,$35,50% after deductible,[35.0],[],0,False,[],[50.0],0,True
27603CA1221144,Anthem,Anthem Gold PPO 35/500/25%,gold,PPO,"In-Network: $500 / Out-of-Network: $2,000","In-Network: $1,500 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 25% / Out-of-Network: 50%,False,False,In-Network: $250 / Out-of-Network: Not Covered,In-Network: $500 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: 50% after deductible,90435,500,2000,1500,4000,8200,16400,16400,32800,25,50,250,500,$35,50% after deductible,[35.0],[],0,False,[],[50.0],0,True
27603CA1221416,Anthem,Anthem Gold PPO 35/500/25% WH,gold,PPO,"In-Network: $500 / Out-of-Network: $2,000","In-Network: $1,500 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 25% / Out-of-Network: 50%,False,False,In-Network: $250 / Out-of-Network: Not Covered,In-Network: $500 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: 50% after deductible,90435,500,2000,1500,4000,8200,16400,16400,32800,25,50,250,500,$35,50% after deductible,[35.0],[],0,False,[],[50.0],0,True
27603CA1221299,Anthem,Anthem Gold PPO 5/1500/30%,gold,PPO,"In-Network: $1,500 / Out-of-Network: $3,000","In-Network: $3,000 / Out-of-Network: $6,000","In-Network: $8,300 / Out-of-Network: $16,600","In-Network: $16,600 / Out-of-Network: $33,200",In-Network: 30% / Out-of-Network: 50%,False,False,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: $5 / Out-of-Network: 50% after deductible,90435,1500,3000,3000,6000,8300,16600,16600,33200,30,50,300,600,$5,50% after deductible,[5.0],[],0,False,[],[50.0],0,True
27603CA1221623,Anthem,Anthem Gold Select PPO 1700/15% w/HSA PrevRx,gold,PPO,"In-Network: $1,700 / Out-of-Network: $3,400","In-Network: $3,400 / Out-of-Network: $6,800","In-Network: $3,700 / Out-of-Network: $7,400","In-Network: $7,400 / Out-of-Network: $14,800",In-Network: 15% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 15% after deductible / Out-of-Network: 50% after deductible,67946,1700,3400,3400,6800,3700,7400,7400,14800,15,50,0,0,15% after deductible,50% after deductible,[],[15.0],0,True,[],[50.0],0,True
27603CA1220891,Anthem,Anthem Gold Select PPO 25/30%,gold,PPO,"In-Network: $0 / Out-of-Network: $2,000","In-Network: $0 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 30% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: 50% after deductible,67946,0,2000,0,4000,8200,16400,16400,32800,30,50,0,0,$25,50% after deductible,[25.0],[],0,False,[],[50.0],0,True
27603CA1220107,Anthem,Anthem Gold Select PPO 25/350/20%,gold,PPO,"In-Network: $350 / Out-of-Network: $2,000","In-Network: $700 / Out-of-Network: $4,000","In-Network: $7,800 / In-Network-Tier-2: $7,800 / Out-of-Network: $15,600","In-Network: $15,600 / In-Network-Tier-2: $15,600 / Out-of-Network: $31,200",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: 50% after deductible,67946,350,2000,700,4000,7800,15600,15600,31200,20,50,0,0,$25,50% after deductible,[25.0],[],0,False,[],[50.0],0,True
27603CA1220892,Anthem,Anthem Gold Select PPO 30/500/20%,gold,PPO,"In-Network: $500 / Out-of-Network: $2,000","In-Network: $1,500 / Out-of-Network: $4,000","In-Network: $7,900 / Out-of-Network: $15,800","In-Network: $15,800 / Out-of-Network: $31,600",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: 50% after deductible,67946,500,2000,1500,4000,7900,15800,15800,31600,20,50,0,0,$30,50% after deductible,[30.0],[],0,False,[],[50.0],0,True
27603CA1220893,Anthem,Anthem Gold Select PPO 30/750/20%,gold,PPO,"In-Network: $750 / Out-of-Network: $2,000","In-Network: $2,250 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $250 / Out-of-Network: Not Covered,In-Network: $500 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: 50% after deductible,67946,750,2000,2250,4000,8200,16400,16400,32800,20,50,250,500,$30,50% after deductible,[30.0],[],0,False,[],[50.0],0,True
27603CA1220890,Anthem,Anthem Gold Select PPO 35/1000/20%,gold,PPO,"In-Network: $1,000 / Out-of-Network: $2,000","In-Network: $3,000 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 20% / Out-of-Network: 50%,False,False,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: 50% after deductible,67946,1000,2000,3000,4000,8200,16400,16400,32800,20,50,300,600,$35,50% after deductible,[35.0],[],0,False,[],[50.0],0,True
27603CA1221133,Anthem,Anthem Gold Select PPO 35/500/25%,gold,PPO,"In-Network: $500 / Out-of-Network: $2,000","In-Network: $1,500 / Out-of-Network: $4,000","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 25% / Out-of-Network: 50%,False,False,In-Network: $250 / Out-of-Network: Not Covered,In-Network: $500 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: 50% after deductible,67946,500,2000,1500,4000,8200,16400,16400,32800,25,50,250,500,$35,50% after deductible,[35.0],[],0,False,[],[50.0],0,True
27603CA1221234,Anthem,Anthem Gold Select PPO 5/1500/30%,gold,PPO,"In-Network: $1,500 / Out-of-Network: $3,000","In-Network: $3,000 / Out-of-Network: $6,000","In-Network: $8,300 / Out-of-Network: $16,600","In-Network: $16,600 / Out-of-Network: $33,200",In-Network: 30% / Out-of-Network: 50%,False,False,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $600 / Out-of-Network: Not Covered,In-Network: $5 / Out-of-Network: 50% after deductible,67946,1500,3000,3000,6000,8300,16600,16600,33200,30,50,300,600,$5,50% after deductible,[5.0],[],0,False,[],[50.0],0,True
27603CA1220818,Anthem,Anthem Platinum PPO 15/250/10%,platinum,PPO,"In-Network: $250 / Out-of-Network: $2,000","In-Network: $750 / Out-of-Network: $4,000","In-Network: $3,800 / Out-of-Network: $7,600","In-Network: $7,600 / Out-of-Network: $15,200",In-Network: 10% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $15 / Out-of-Network: 50% after deductible,90435,250,2000,750,4000,3800,7600,7600,15200,10,50,0,0,$15,50% after deductible,[15.0],[],0,False,[],[50.0],0,True
27603CA1220904,Anthem,Anthem Platinum PPO 15/40/10%,platinum,PPO,"In-Network: $0 / Out-of-Network: $2,000","In-Network: $0 / Out-of-Network: $4,000","In-Network: $3,800 / Out-of-Network: $7,600","In-Network: $7,600 / Out-of-Network: $15,200",In-Network: 10% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $15 / Out-of-Network: 50% after deductible,90435,0,2000,0,4000,3800,7600,7600,15200,10,50,0,0,$15,50% after deductible,[15.0],[],0,False,[],[50.0],0,True
27603CA1221280,Anthem,Anthem Platinum PPO 5/200/15%,platinum,PPO,"In-Network: $200 / Out-of-Network: $2,000","In-Network: $600 / Out-of-Network: $4,000","In-Network: $3,800 / Out-of-Network: $7,600","In-Network: $7,600 / Out-of-Network: $15,200",In-Network: 15% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $5 / Out-of-Network: 50% after deductible,90435,200,2000,600,4000,3800,7600,7600,15200,15,50,0,0,$5,50% after deductible,[5.0],[],0,False,[],[50.0],0,True
27603CA1221397,Anthem,Anthem Platinum PPO 5/200/15% WH,platinum,PPO,"In-Network: $200 / Out-of-Network: $2,000","In-Network: $600 / Out-of-Network: $4,000","In-Network: $3,800 / Out-of-Network: $7,600","In-Network: $7,600 / Out-of-Network: $15,200",In-Network: 15% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $5 / Out-of-Network: 50% after deductible,90435,200,2000,600,4000,3800,7600,7600,15200,15,50,0,0,$5,50% after deductible,[5.0],[],0,False,[],[50.0],0,True
27603CA1220129,Anthem,Anthem Platinum Select PPO 15/10%,platinum,PPO,"In-Network: $0 / Out-of-Network: $2,000","In-Network: $0 / Out-of-Network: $4,000","In-Network: $4,500 / In-Network-Tier-2: $4,500 / Out-of-Network: $9,000","In-Network: $9,000 / In-Network-Tier-2: $9,000 / Out-of-Network: $18,000",In-Network: 10% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $15 / Out-of-Network: 50% after deductible,67946,0,2000,0,4000,4500,9000,9000,18000,10,50,0,0,$15,50% after deductible,[15.0],[],0,False,[],[50.0],0,True
27603CA1220894,Anthem,Anthem Platinum Select PPO 15/250/10%,platinum,PPO,"In-Network: $250 / Out-of-Network: $2,000","In-Network: $750 / Out-of-Network: $4,000","In-Network: $3,800 / Out-of-Network: $7,600","In-Network: $7,600 / Out-of-Network: $15,200",In-Network: 10% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $15 / Out-of-Network: 50% after deductible,67946,250,2000,750,4000,3800,7600,7600,15200,10,50,0,0,$15,50% after deductible,[15.0],[],0,False,[],[50.0],0,True
27603CA1220897,Anthem,Anthem Platinum Select PPO 15/40/10%,platinum,PPO,"In-Network: $0 / Out-of-Network: $2,000","In-Network: $0 / Out-of-Network: $4,000","In-Network: $3,800 / Out-of-Network: $7,600","In-Network: $7,600 / Out-of-Network: $15,200",In-Network: 10% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $15 / Out-of-Network: 50% after deductible,67946,0,2000,0,4000,3800,7600,7600,15200,10,50,0,0,$15,50% after deductible,[15.0],[],0,False,[],[50.0],0,True
27603CA1221235,Anthem,Anthem Platinum Select PPO 5/200/15%,platinum,PPO,"In-Network: $200 / Out-of-Network: $2,000","In-Network: $600 / Out-of-Network: $4,000","In-Network: $3,800 / Out-of-Network: $7,600","In-Network: $7,600 / Out-of-Network: $15,200",In-Network: 15% / Out-of-Network: 50%,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $5 / Out-of-Network: 50% after deductible,67946,200,2000,600,4000,3800,7600,7600,15200,15,50,0,0,$5,50% after deductible,[5.0],[],0,False,[],[50.0],0,True
